Date/Time,Net,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/02  12:00:00,12.83964266,1.511912633,5.044452146,0,5.020082386,0,0.133357363,0.133357363,0.133357363,0.121932142,0.026267417,0.361119726,0.353804116,0
 01/02  13:00:00,11.92710554,1.420625291,4.656393554,0,4.63243431,0,0.123254229,0.123254229,0.123254229,0.121932142,0.026267417,0.351845974,0.347844169,0
 01/02  14:00:00,11.70701885,1.357999393,4.591366871,0,4.56657913,0,0.121717897,0.121717897,0.121717897,0.121932142,0.026267417,0.317847783,0.359872426,0
 01/02  15:00:00,11.65707974,1.322285111,4.58304624,0,4.556862743,0,0.122035915,0.122035915,0.122035915,0.128349577,0.027649903,0.292642171,0.380136245,0
 01/02  16:00:00,11.88082942,1.398624541,4.620826033,0,4.593187068,0,0.123020607,0.123020607,0.123020607,0.160436991,0.034562383,0.302863616,0.401266965,0
 01/02  17:00:00,12.4310141,1.702063202,4.618824397,0,4.586132346,0,0.122682001,0.122682001,0.122682001,0.269534103,0.058064812,0.353720743,0.474628493,0
 01/02  18:00:00,15.17156519,2.298260229,5.42503257,0,5.385316952,0,0.14429658,0.14429658,0.14429658,0.500563357,0.107834641,0.445069937,0.576597765,0
 01/02  19:00:00,15.60339097,2.716440355,5.289401451,0,5.246282277,0,0.140725,0.140725,0.140725,0.744427561,0.160369476,0.398283704,0.626011142,0
 01/02  20:00:00,13.61900605,2.667127525,4.365968467,0,4.321461001,0,0.114513232,0.114513232,0.114513232,0.789349925,0.170046944,0.315345897,0.646166599,0
 01/02  21:00:00,12.94676948,2.457961073,4.216570716,0,4.170533142,0,0.110217116,0.110217116,0.110217116,0.680252812,0.146544516,0.275874928,0.668380946,0
 01/02  22:00:00,12.65556775,2.227063423,4.26601131,0,4.221048544,0,0.112042556,0.112042556,0.112042556,0.5711557,0.123042104,0.258342283,0.652776722,0
 01/02  23:00:00,12.40782352,1.814611593,4.491846566,0,4.452937053,0,0.118351523,0.118351523,0.118351523,0.429971094,0.092627195,0.205880856,0.564894597,0
 01/02  24:00:00,12.16290036,1.397683088,4.719724857,0,4.685913214,0,0.124658911,0.124658911,0.124658911,0.295204003,0.063594789,0.135920782,0.490882893,0
 01/03  01:00:00,12.21570459,0.979362329,5.090376208,0,5.062408829,0,0.134651227,0.134651227,0.134651227,0.154019476,0.033179897,0.086369242,0.406034923,0
 01/03  02:00:00,12.41314598,0.805678651,5.327301893,0,5.301551304,0,0.141108167,0.141108167,0.141108167,0.089844728,0.019354937,0.072238755,0.37385121,0
 01/03  03:00:00,12.63097811,0.746385447,5.483804711,0,5.45835268,0,0.145067853,0.145067853,0.145067853,0.064174796,0.013824955,0.059715255,0.369516703,0
 01/03  04:00:00,12.84657533,0.741270675,5.595910388,0,5.570816626,0,0.147883855,0.147883855,0.147883855,0.064174796,0.013824955,0.052611026,0.364315295,0
 01/03  05:00:00,13.03143436,0.784349375,5.665306111,0,5.64116027,0,0.14963797,0.14963797,0.14963797,0.064174796,0.013824955,0.063151709,0.350553236,0
 01/03  06:00:00,13.32113314,1.032621949,5.661096588,0,5.63415177,0,0.149364118,0.149364118,0.149364118,0.064174796,0.013824955,0.075981488,0.391189237,0
 01/03  07:00:00,13.77501834,1.608308602,5.500971691,0,5.469839602,0,0.144920095,0.144920095,0.144920095,0.147602041,0.031797395,0.129758031,0.451980695,0
 01/03  08:00:00,13.91273463,2.009368723,5.234686,0,5.201605823,0,0.137601998,0.137601998,0.137601998,0.301621517,0.064977292,0.207405929,0.480263352,0
 01/03  09:00:00,13.47246325,1.935383889,5.069409788,0,5.041442409,0,0.133500906,0.133500906,0.133500906,0.288786568,0.062212303,0.268690649,0.406034923,0
 01/03  10:00:00,13.61146223,1.69169953,5.333244507,0,5.309442007,0,0.140691568,0.140691568,0.140691568,0.147602041,0.031797395,0.330033496,0.345568553,0
 01/03  11:00:00,14.02503489,1.595852362,5.581458105,0,5.557095809,0,0.147952228,0.147952228,0.147952228,0.121932142,0.026267417,0.34487662,0.353695754,0
 01/03  12:00:00,14.5088105,1.534264049,5.835780946,0,5.811411186,0,0.154743639,0.154743639,0.154743639,0.121932142,0.026267417,0.361119726,0.353804116,0
 01/03  13:00:00,14.52370944,1.45436044,5.888469592,0,5.864510349,0,0.156159787,0.156159787,0.156159787,0.121932142,0.026267417,0.351845974,0.347844169,0
 01/03  14:00:00,14.71716374,1.396245966,6.021061634,0,5.996273894,0,0.159220825,0.159220825,0.159220825,0.121932142,0.026267417,0.317847783,0.359872426,0
 01/03  15:00:00,14.77362328,1.361275894,6.064330285,0,6.038146788,0,0.160364138,0.160364138,0.160364138,0.128349577,0.027649903,0.292642171,0.380136245,0
 01/03  16:00:00,15.74333688,1.446832397,6.456668885,0,6.429029919,0,0.170558576,0.170558576,0.170558576,0.160436991,0.034562383,0.302863616,0.401266965,0
 01/03  17:00:00,16.84495003,1.757035991,6.716993541,0,6.684301489,0,0.176890286,0.176890286,0.176890286,0.269534103,0.058064812,0.353720743,0.474628493,0
 01/03  18:00:00,21.10996966,2.372726014,8.246742176,0,8.207026558,0,0.217803069,0.217803069,0.217803069,0.500563357,0.107834641,0.445069937,0.576597765,0
 01/03  19:00:00,19.6732479,2.764988354,7.228931732,0,7.185812558,0,0.188141125,0.188141125,0.188141125,0.744427561,0.160369476,0.398283704,0.626011142,0
 01/03  20:00:00,19.38932703,2.738223822,7.110667632,0,7.066160165,0,0.184455348,0.184455348,0.184455348,0.789349925,0.170046944,0.315345897,0.646166599,0
 01/03  21:00:00,19.72037927,2.542170333,7.436534018,0,7.390496444,0,0.193375091,0.193375091,0.193375091,0.680252812,0.146544516,0.275874928,0.668380946,0
 01/03  22:00:00,19.85316925,2.315886373,7.688552017,0,7.64358925,0,0.199941601,0.199941601,0.199941601,0.5711557,0.123042104,0.258342283,0.652776722,0
 01/03  23:00:00,19.93726518,1.906927816,8.072993371,0,8.034083859,0,0.209962132,0.209962132,0.209962132,0.429971094,0.092627195,0.205880856,0.564894597,0
 01/03  24:00:00,20.05403758,1.494092252,8.473175878,0,8.439364235,0,0.220600915,0.220600915,0.220600915,0.295204003,0.063594789,0.135920782,0.490882893,0
 01/04  01:00:00,20.34171774,1.078160883,8.956111516,0,8.928144138,0,0.233232554,0.233232554,0.233232554,0.154019476,0.033179897,0.086369242,0.406034923,0
 01/04  02:00:00,21.06900769,0.910757611,9.445237684,0,9.419487095,0,0.246078556,0.246078556,0.246078556,0.089844728,0.019354937,0.072238755,0.37385121,0
 01/04  03:00:00,21.01575528,0.848139245,9.472800507,0,9.447348476,0,0.246745115,0.246745115,0.246745115,0.064174796,0.013824955,0.059715255,0.369516703,0
 01/04  04:00:00,21.11222986,0.84093467,9.529537818,0,9.504444056,0,0.247462415,0.247462415,0.247462415,0.064174796,0.013824955,0.052611026,0.364315295,0
 01/04  05:00:00,21.64339066,0.888600377,9.763043624,0,9.738897782,0,0.253714726,0.253714726,0.253714726,0.064174796,0.013824955,0.063151709,0.350553236,0
 01/04  06:00:00,21.90063501,1.137098592,9.74272027,0,9.715775451,0,0.253290074,0.253290074,0.253290074,0.064174796,0.013824955,0.075981488,0.391189237,0
 01/04  07:00:00,21.81201773,1.706339899,9.325295349,0,9.294163261,0,0.241693687,0.241693687,0.241693687,0.147602041,0.031797395,0.129758031,0.451980695,0
 01/04  08:00:00,23.80868959,2.13024819,9.94310799,0,9.910027814,0,0.257012501,0.257012501,0.257012501,0.301621517,0.064977292,0.207405929,0.480263352,0
 01/04  09:00:00,21.41403222,2.031812662,8.849481217,0,8.821513838,0,0.22850002,0.22850002,0.22850002,0.288786568,0.062212303,0.268690649,0.406034923,0
 01/04  10:00:00,20.17257033,1.771234809,8.456654017,0,8.432851517,0,0.218942834,0.218942834,0.218942834,0.147602041,0.031797395,0.330033496,0.345568553,0
 01/04  11:00:00,21.83025242,1.692255981,9.292913312,0,9.268551016,0,0.243253392,0.243253392,0.243253392,0.121932142,0.026267417,0.34487662,0.353695754,0
