Month,Day,Hour,DateTime,EnergyProd,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W),,,
1,4,14,149914,17.226963,453,136,12,0,461.647,29.779,17226.963,16564.951,,,
1,4,15,149915,12.119878,422,89,11,0,325.924,25.758,12119.878,11611.635,,,
1,4,16,149916,5.695248,311,41,10,0,158.164,17.404,5695.248,5349.835,,,
1,4,17,149917,0,0,0,9,0,0,9,0,0,,,
1,4,18,149918,0,0,0,7,0,0,7,0,0,,,
1,4,19,149919,0,0,0,6,0,0,6,0,0,,,
1,4,20,149920,0,0,0,4,0,0,4,0,0,,,
1,4,21,149921,0,0,0,3,0,0,3,0,0,,,
1,4,22,149922,0,0,0,1,0,0,1,0,0,,,
1,4,23,149923,0,0,0,0,0,0,0,0,0,,,
1,5,0,15990,0,0,0,0,0,0,0,0,0,,,
1,5,1,15991,0,0,0,0,0,0,0,0,0,,,
1,5,2,15992,0,0,0,0,0,0,0,0,0,,,
1,5,3,15993,0,0,0,-1,0,0,-1,0,0,,,
1,5,4,15994,0,0,0,-2,0,0,-2,0,0,,,
1,5,5,15995,0,0,0,-2,0,0,-2,0,0,,,
1,5,6,15996,0,0,0,-3,0,0,-3,0,0,,,
1,5,7,15997,0,0,0,-3,0,0,-3,0,0,,,
1,5,8,15998,9.292377,557,40,-2,0,247.314,5.62,9292.377,8859.999,,,
1,5,9,15999,18.978092,808,56,-1,0,496.749,18.643,18978.092,18258.395,,,
1,5,10,159910,25.661527,920,60,0,0,683.46,27.761,25661.527,24698.373,,,
1,5,11,159911,29.496711,966,61,0,0,797.539,32.603,29496.711,28377.189,,,
1,5,12,159912,30.587443,979,60,0,0,832.767,34.387,30587.443,29421.23,,,
1,5,13,159913,29.056352,969,56,0,0,788.438,33.238,29056.352,27955.402,,,
1,5,14,159914,24.827719,926,51,0,0,666.768,29.161,24827.719,23896.953,,,
1,5,15,159915,17.971393,831,44,-1,0,478.949,21.291,17971.393,17285.168,,,
1,5,16,159916,8.58827,603,30,-2,0,238.544,10.361,8588.27,8173.756,,,
1,5,17,159917,0,0,0,-3,0,0,-3,0,0,,,
1,5,18,159918,0,0,0,-4,0,0,-4,0,0,,,
1,5,19,159919,0,0,0,-5,0,0,-5,0,0,,,
1,5,20,159920,0,0,0,-5,0,0,-5,0,0,,,
1,5,21,159921,0,0,0,-6,0,0,-6,0,0,,,
1,5,22,159922,0,0,0,-5,0,0,-5,0,0,,,
1,5,23,159923,0,0,0,-4,0,0,-4,0,0,,,
1,6,0,16990,0,0,0,-3,0,0,-3,0,0,,,
1,6,1,16991,0,0,0,-3,0,0,-3,0,0,,,
1,6,2,16992,0,0,0,-3,0,0,-3,0,0,,,
1,6,3,16993,0,0,0,-3,0,0,-3,0,0,,,
1,6,4,16994,0,0,0,-3,0,0,-3,0,0,,,
1,6,5,16995,0,0,0,-3,0,0,-3,0,0,,,
1,6,6,16996,0,0,0,-3,0,0,-3,0,0,,,
1,6,7,16997,0,0,0,-2,0,0,-2,0,0,,,
1,6,8,16998,1.701353,0,40,0,0,38.909,-2.857,1701.353,1439.974,,,
1,6,9,16999,18.559484,793,53,1,0,485.346,18.395,18559.484,17853.807,,,
1,6,10,169910,25.016889,898,61,2,0,670.501,29.105,25016.889,24078.826,,,
1,6,11,169911,17.836059,297,206,3,0,462.071,24.453,17836.059,17154.27,,,
1,6,12,169912,19.604922,330,214,2,0,505.11,23.452,19604.922,18863.961,,,
1,6,13,169913,22.653037,544,152,1,0,591.609,25.734,22653.037,21804.041,,,
1,6,14,169914,11.536403,137,176,0,0,286.701,14.994,11536.403,11044.356,,,
1,6,15,169915,5.505602,31,109,0,0,131.629,6.159,5505.602,5164.478,,,
1,6,16,169916,1.918453,0,44,-1,0,44.258,-0.768,1918.453,1652.846,,,
1,6,17,169917,0,0,0,-2,0,0,-2,0,0,,,
1,6,18,169918,0,0,0,-2,0,0,-2,0,0,,,
1,6,19,169919,0,0,0,-2,0,0,-2,0,0,,,
1,6,20,169920,0,0,0,-3,0,0,-3,0,0,,,
1,6,21,169921,0,0,0,-3,0,0,-3,0,0,,,
1,6,22,169922,0,0,0,-3,0,0,-3,0,0,,,
1,6,23,169923,0,0,0,-4,0,0,-4,0,0,,,
1,7,0,17990,0,0,0,-4,0,0,-4,0,0,,,
1,7,1,17991,0,0,0,-4,0,0,-4,0,0,,,
1,7,2,17992,0,0,0,-4,0,0,-4,0,0,,,
1,7,3,17993,0,0,0,-4,0,0,-4,0,0,,,
1,7,4,17994,0,0,0,-4,0,0,-4,0,0,,,
1,7,5,17995,0,0,0,-4,0,0,-4,0,0,,,
1,7,6,17996,0,0,0,-5,0,0,-5,0,0,,,
1,7,7,17997,0,0,0,-5,0,0,-5,0,0,,,
1,7,8,17998,0.12748,0,3,-5,0,2.835,-9.653,127.48,0,,,
1,7,9,17999,6.079453,34,115,-5,0,140.101,-2.48,6079.453,5725.261,,,
1,7,10,179910,5.112,0,120,-5,0,117.659,-1.324,5112,4779.681,,,
1,7,11,179911,5.662281,0,133,-6,0,129.945,-2.022,5662.281,5317.616,,,
1,7,12,179912,6.442801,0,151,-6,0,148.476,-1.023,6442.801,6080.196,,,
1,7,13,179913,4.436075,0,105,-7,0,101.024,-3.874,4436.075,4118.579,,,
1,7,14,179914,14.247259,223,173,-8,0,339.214,4.732,14247.259,13677.582,,,
1,7,15,179915,5.224377,22,108,-9,0,120.272,-2.416,5224.377,4889.558,,,
1,7,16,179916,9.267711,584,38,-10,0,243.064,-0.895,9267.711,8835.965,,,
1,7,17,179917,0,0,0,-11,0,0,-11,0,0,,,
1,7,18,179918,0,0,0,-12,0,0,-12,0,0,,,
1,7,19,179919,0,0,0,-13,0,0,-13,0,0,,,
1,7,20,179920,0,0,0,-13,0,0,-13,0,0,,,
1,7,21,179921,0,0,0,-14,0,0,-14,0,0,,,
