Date/Time,Net,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) ,
 01/02  10:00:00,4.343454024,0.925292028,1.53487958,0,1.4160683,0,0.02457225,0.02457225,0.02457225,0.05654521,0.010158921,0.061620214,0.265173021,0.496692412,
 01/02  11:00:00,4.244017817,0.840160424,1.526552507,0,1.419152109,0,0.024625762,0.024625762,0.024625762,0.046711238,0.008392148,0.057762654,0.271409451,0.420729172,
 01/02  12:00:00,4.152755541,0.775820039,1.521288434,0,1.39909359,0,0.024277697,0.024277697,0.024277697,0.046711238,0.008392148,0.057124397,0.271492604,0.357291956,
 01/02  13:00:00,3.998449248,0.722431122,1.481043571,0,1.344374207,0,0.023328182,0.023328182,0.023328182,0.046711238,0.008392148,0.058593194,0.266919222,0.307957139,
 01/02  14:00:00,3.988937933,0.700364372,1.472510147,0,1.357400202,0,0.023554215,0.023554215,0.023554215,0.046711238,0.008392148,0.056748042,0.276149139,0.278279591,
 01/02  15:00:00,4.042611051,0.690025081,1.494362527,0,1.382618788,0,0.023991819,0.023991819,0.023991819,0.049169738,0.008833842,0.05392698,0.291698638,0.251874062,
 01/02  16:00:00,4.186001752,0.730173797,1.542720183,0,1.403234332,0,0.024349549,0.024349549,0.024349549,0.06146218,0.011042304,0.056406952,0.307913357,0.258469454,
 01/02  17:00:00,4.454097011,0.882288076,1.583082393,0,1.365764291,0,0.023699352,0.023699352,0.023699352,0.103256447,0.018551069,0.065849143,0.364207536,0.296194529,
 01/02  18:00:00,6.473777369,1.175870112,2.3918692,0,2.047874131,0,0.035535627,0.035535627,0.035535627,0.191761982,0.034451986,0.082889127,0.44245395,0.378247441,
 01/02  19:00:00,6.732450998,1.422807254,2.29081069,0,2.013719649,0,0.034942963,0.034942963,0.034942963,0.285184488,0.051236287,0.083492295,0.480371446,0.447049774,
 01/02  20:00:00,5.031544961,1.413507608,1.39314146,0,1.233339505,0,0.021401458,0.021401458,0.021401458,0.302393901,0.054328133,0.074792186,0.495837794,0.454224136,
 01/02  21:00:00,4.45915293,1.32722546,1.150641093,0,1.041439006,0,0.018071515,0.018071515,0.018071515,0.260599634,0.046819369,0.065329786,0.512884037,0.412991119,
 01/02  22:00:00,4.357096889,1.210590668,1.179138592,0,1.092952728,0,0.018965404,0.018965404,0.018965404,0.218805337,0.039310599,0.058492662,0.500910091,0.363576575,
 01/02  23:00:00,4.176916687,0.996963773,1.251145704,0,1.188837224,0,0.020629235,0.020629235,0.020629235,0.164718628,0.029593373,0.05029679,0.43347349,0.287722258,
 01/02  24:00:00,4.055633007,0.789473672,1.346471913,0,1.298419587,0,0.022530757,0.022530757,0.022530757,0.113090389,0.020317836,0.043586942,0.376680397,0.202737351,
 01/03  01:00:00,4.037012515,0.564197304,1.506327149,0,1.470131974,0,0.025510387,0.025510387,0.025510387,0.05900368,0.01060061,0.038648574,0.311572063,0.10833199,
 01/03  02:00:00,4.087992925,0.466425094,1.605208583,0,1.570710156,0,0.027255665,0.027255665,0.027255665,0.034418826,0.006183691,0.036403781,0.286875799,0.064757332,
 01/03  03:00:00,4.169697722,0.440403014,1.662033392,0,1.635168308,0,0.028374171,0.028374171,0.028374171,0.024584869,0.004416921,0.034419002,0.283549703,0.054528348,
 01/03  04:00:00,4.261882464,0.440028523,1.709548648,0,1.682957785,0,0.029203436,0.029203436,0.029203436,0.024584869,0.004416921,0.033177023,0.279558387,0.058557887,
 01/03  05:00:00,4.343734936,0.465538499,1.745335783,0,1.712065641,0,0.029708528,0.029708528,0.029708528,0.024584869,0.004416921,0.033669607,0.268998032,0.093630541,
 01/03  06:00:00,4.534950399,0.657404729,1.73369564,0,1.690899232,0,0.029341239,0.029341239,0.029341239,0.024584869,0.004416921,0.035745107,0.300180184,0.252606409,
 01/03  07:00:00,4.792917925,1.041174346,1.644928796,0,1.569329037,0,0.027231699,0.027231699,0.027231699,0.05654521,0.010158921,0.042257835,0.346828683,0.547621998,
 01/03  08:00:00,4.845368453,1.22094661,1.553824331,0,1.439751201,0,0.024983206,0.024983206,0.024983206,0.11554889,0.020759531,0.051056811,0.368531461,0.614536711,
 01/03  09:00:00,4.607834128,1.108752996,1.52140457,0,1.403860906,0,0.024360422,0.024360422,0.024360422,0.110631919,0.019876147,0.058654261,0.311572063,0.573128184,
 01/03  10:00:00,4.637058451,0.928690036,1.676301758,0,1.557490478,0,0.027026271,0.027026271,0.027026271,0.05654521,0.010158921,0.061620214,0.265173021,0.497636399,
 01/03  11:00:00,4.784587118,0.845480118,1.787388107,0,1.679987708,0,0.029151898,0.029151898,0.029151898,0.046711238,0.008392148,0.057762654,0.271409451,0.42152273,
 01/03  12:00:00,4.983981708,0.783451319,1.922639249,0,1.800444405,0,0.031242116,0.031242116,0.031242116,0.046711238,0.008392148,0.057124397,0.271492604,0.357958816,
 01/03  13:00:00,4.982913586,0.731249624,1.956491219,0,1.819821855,0,0.031578362,0.031578362,0.031578362,0.046711238,0.008392148,0.058593194,0.266919222,0.308525461,
 01/03  14:00:00,4.965236886,0.70905381,1.944041568,0,1.828931624,0,0.031736439,0.031736439,0.031736439,0.046711238,0.008392148,0.056748042,0.276149139,0.278786805,
